symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,enter_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
AUDNZD,long,2025-05-13 13:35:00+00:00,2025-05-13 18:00:00+00:00,1.08757,1.08915,1.0,0.0010150000000000992,TP2_RR_5,FVG_H1,TP2_RR_5,1.08802,2025-05-13 17:35:00+00:00,TP1_TP1_ATR,1.0891172931481101,2025-05-13 18:00:00+00:00,0.00022500000000003073,0.0010150000000000992,93.32732605718245,102787.66223478576
AUDNZD,long,2025-05-13 14:10:00+00:00,2025-05-13 18:00:00+00:00,1.08759,1.08915,1.0,0.0015600000000000058,TP2_RR_5,FVG,TP2_RR_5,1.08915,2025-05-13 18:00:00+00:00,TP1_TP1_ATR,1.0887309029173353,2025-05-13 18:00:00+00:00,0.0007800000000000029,0.0015600000000000058,143.43640526301323,102931.09864004877
USDCAD,long,2025-05-13 17:10:00+00:00,2025-05-13 18:35:00+00:00,1.3993,1.3970460529581201,1.0,-0.002253947041879867,SL_sl_atr_FVG,FVG,SL_sl_atr_FVG,,,,,,,-0.002253947041879867,-161.0767556549608,102770.02188439382
USDJPY,long,2025-05-13 16:40:00+00:00,2025-05-13 19:00:00+00:00,147.729,147.729,1.0,0.057999999999992724,TP1_HH_15,OB,TP1_HH_15,147.845,2025-05-13 17:40:00+00:00,TP1_HH_15,,,0.057999999999992724,0.057999999999992724,39.26107940891275,102809.28296380273
USDJPY,long,2025-05-13 16:45:00+00:00,2025-05-13 21:35:00+00:00,147.734,147.53423261692478,1.0,-0.19976738307522623,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-0.19976738307522623,-135.22099386412486,102674.0619699386
AUDNZD,long,2025-05-13 23:30:00+00:00,2025-05-14 00:00:00+00:00,1.08937,1.0891398684763582,1.0,-0.00023013152364170786,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-0.00023013152364170786,-21.125193794735292,102652.93677614386
AUDNZD,long,2025-05-13 23:25:00+00:00,2025-05-14 00:00:00+00:00,1.08949,1.0892813968206936,1.0,-0.00020860317930648797,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-0.00020860317930648797,-19.14686498329383,102633.78991116057
AUDNZD,long,2025-05-14 01:45:00+00:00,2025-05-14 01:55:00+00:00,1.08964,1.09004,1.0,0.00039999999999995595,TP2_HH_15_H1,BREAKER_H1_FVG_H1,TP2_HH_15_H1,,,,1.08969,2025-05-14 01:55:00+00:00,,0.00039999999999995595,36.7093719026427,102670.49928306321
XAUUSD,long,2025-05-14 03:00:00+00:00,2025-05-14 03:05:00+00:00,3248.87,3245.6996935607804,1.0,-3.17030643921953,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-3.17030643921953,-97.58181888532106,102572.9174641779
USDJPY,long,2025-05-14 01:45:00+00:00,2025-05-14 03:20:00+00:00,147.416,147.61,1.0,0.13500000000000512,TP2_RR_5,FVG_H1,TP2_RR_5,147.492,2025-05-14 02:50:00+00:00,TP1_TP1_ATR,147.65196848986614,2025-05-14 03:20:00+00:00,0.0379999999999967,0.13500000000000512,91.5775763824857,102664.49504056037
GBPUSD,long,2025-05-14 01:50:00+00:00,2025-05-14 03:30:00+00:00,1.3311600000000001,1.33095,1.0,-0.00021000000000004349,bearish_lqs,GPG_H1,bearish_lqs,,,,,,,-0.00021000000000004349,-15.775714414498893,102648.71932614587
GBPUSD,long,2025-05-14 02:05:00+00:00,2025-05-14 03:30:00+00:00,1.33046,1.33095,1.0,0.0004900000000001015,bearish_lqs,FVG,bearish_lqs,,,,,,,0.0004900000000001015,36.82936728651004,102685.54869343239
GBPUSD,long,2025-05-14 03:00:00+00:00,2025-05-14 03:30:00+00:00,1.32996,1.33095,1.0,0.0009900000000000464,bearish_lqs,OB,bearish_lqs,,,,,,,0.0009900000000000464,74.4383289723034,102759.98702240469
GBPUSD,long,2025-05-14 03:05:00+00:00,2025-05-14 03:30:00+00:00,1.33008,1.33095,1.0,0.0008700000000001484,bearish_lqs,BREAKER,bearish_lqs,,,,,,,0.0008700000000001484,65.40959942260228,102825.3966218273
GBPUSD,long,2025-05-14 03:50:00+00:00,2025-05-14 03:55:00+00:00,1.3313,1.33128,1.0,-1.999999999990898e-05,bearish_lqs,GPG_IS_IN_H1,bearish_lqs,,,,,,,-1.999999999990898e-05,-1.5022909937586555,102823.89433083354
GBPUSD,long,2025-05-14 04:10:00+00:00,2025-05-14 04:15:00+00:00,1.33142,1.33132,1.0,-9.999999999998899e-05,bearish_lqs,GPG_IS_IN_H1,bearish_lqs,,,,,,,-9.999999999998899e-05,-7.51077796638093,102816.38355286716
AUDNZD,long,2025-05-14 04:00:00+00:00,2025-05-14 04:30:00+00:00,1.0891,1.08934,1.0,0.00024000000000001798,TP2_HH_15_H1,BREAKER_H1,TP2_HH_15_H1,1.08934,2025-05-14 04:30:00+00:00,TP1_TP1_ATR,1.08969,2025-05-14 04:30:00+00:00,0.00012000000000000899,0.00024000000000001798,22.036543935361124,102838.42009680253
XAUUSD,long,2025-05-14 04:00:00+00:00,2025-05-14 05:00:00+00:00,3239.64,3236.001817580117,1.0,-3.6381824198829236,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-3.6381824198829236,-112.30205886712487,102726.11803793539
